Description,Code,Number of jobs (thousand),Median,median_annual_percentage_change,Mean,mean_annual_percentage_change,p10,p20,p25,p30,p40,p60,p70,p75,p80,p90
North East Lincolnshire UA,E06000012,53,37,,33.3,,17.1,25.4,30.2,32.5,35.4,37.5,39,40,40,x
North Lincolnshire UA,E06000013,62,37,,33.4,,16,24,29,32.2,35.4,37.5,39,40,40,x
York UA,E06000014,94,36.9,,31.8,,15,21,27.8,30,35,37,37.5,37.9,39.3,40
North Yorkshire,E10000023,262,37,,32.2,,15.6,23,27,30,35,37.5,37.5,39,40,40.5
  Craven,E07000163,25,35,,29.6,,x,18.2,20.6,24,30,36.9,37.5,37.9,39,x
  Hambleton,E07000164,32,37,,32.9,,15.2,20,25,30.3,35.3,37.5,38.8,39.8,40,x
  Harrogate,E07000165,76,37,,32.4,,16,23.9,28.7,32.1,35,37.5,37.5,38,39.1,x
  Richmondshire,E07000166,18,36.5,,31.2,,15,19.7,22,24.5,31.7,37,37.5,38.5,39.9,x
  Ryedale,E07000167,21,37.1,,33.2,,15.9,25.3,29.3,31.1,36.7,37.7,39,39.8,40,x
  Scarborough,E07000168,47,36.6,,31.8,,15.3,22.5,25.3,28.7,33.3,37,37.5,38,39.1,x
  Selby,E07000169,43,37,,33.4,,18.4,28.6,30,32.4,35.2,37.5,38,39.9,40,x
South Yorkshire Met County,E11000003,506,36.9,,32.4,,16,23,27.5,30,35,37.4,37.5,39,39.9,40.1
  Barnsley,E08000016,96,37,,33.3,,18.1,26,28.9,30.5,35,37.5,38,39.5,40,40.3
  Doncaster,E08000017,115,37,,33.9,,18,25.3,30,32.5,36.6,37.5,39.3,40,40,44
  Rotherham,E08000018,98,36.8,,31.7,,15,22.1,25.5,29.6,33,37.4,37.5,39,39.9,40
  Sheffield,E08000019,198,35,,31.4,,14.9,21,25.4,30,34.5,37,37.5,37.5,38,40
West Yorkshire Met County,E11000006,909,36.9,,32.3,,16,23.9,28,31,35,37.3,37.5,37.6,39,40
  Bradford,E08000032,198,36.2,,31.5,,15.2,22.4,25,29.9,34.9,37,37.5,37.5,38,40
  Calderdale,E08000033,86,35,,31.2,,12.4,22.1,25.2,30,34.8,36.9,37.5,37.5,39.8,x
  Kirklees,E08000034,181,36.9,,31.9,,13.8,22.6,27.4,30.1,34.9,37.3,37.5,37.9,39.1,40
  Leeds,E08000035,304,37,,33.1,,17.4,27,30,32.5,35,37.5,37.5,37.6,39.3,40
  Wakefield,E08000036,142,37,,32.8,,16.9,23,27.8,30.3,35,37.4,37.5,38,39.8,40.8
East Midlands ,E12000004,"1,921",37,,32.7,,16,24,28.2,32,35,37.5,37.5,39,40,40.5
Derby UA,E06000015,95,37,,32.8,,17.4,25,30,32.4,36.8,37.5,37.6,38.9,39.8,x
Leicester UA,E06000016,128,36.9,,32.5,,15.9,23.9,28.9,31.9,35,37.5,37.5,37.5,39,40
North Northamptonshire UA,E06000061,154,37.4,,34.1,,18.4,27.4,32,35,36.9,37.5,39,40,40,42.4
Nottingham UA,E06000018,85,36.9,,31.8,,12,21.3,24.1,29.9,34,37,37.5,38.5,40,42.5
Rutland UA,E06000017,16,37,,32.7,,x,x,30,32.2,35.2,37.2,37.5,39.9,x,x
West Northamptonshire UA,E06000062,176,37.4,,33.9,,18.5,27.4,32,35,36.6,37.5,38.5,39.9,40,40.5
Derbyshire,E10000007,319,37,,32.7,,15.5,23.9,28.3,32.2,35.1,37.5,37.9,39,40,40.2
  Amber Valley,E07000032,56,36.9,,33.1,,13.9,24,29.2,32.5,35.4,37.4,37.5,38,39.8,x
  Bolsover,E07000033,32,37,,32.5,,14.8,22.6,27.5,30,35.4,37.5,38,38.9,39.9,x
  Chesterfield,E07000034,39,37,,32.9,,16.3,23.2,27.1,32.1,35,37.5,38.6,39.5,40,x
  Derbyshire Dales,E07000035,23,36.8,,30.6,,13.2,16.1,21.2,25.6,30,37.4,38.4,39.9,40,x
  Erewash,E07000036,49,37,,32.8,,16.2,25.3,29.6,31.8,35,37.5,38,39,39.9,x
  High Peak,E07000037,35,37,,31.8,,12.2,21,24.9,31.3,34.8,37.5,37.5,39.1,40,x
  North East Derbyshire,E07000038,33,37,,32.6,,13.5,21.9,28.5,32.2,36,37.5,38.7,40,40,x
  South Derbyshire,E07000039,53,37,,33.7,,18.7,29.9,32.5,35,36.9,37.5,37.5,37.8,39.3,x
Leicestershire,E10000018,297,36.9,,32.6,,16,24,28,31.5,35,37.5,37.5,38.3,39.8,40
  Blaby,E07000129,44,36.8,,32.4,,16,23.6,28.9,31.5,35,37,37.5,37.5,38.2,x
  Charnwood,E07000130,74,37,,33.1,,16,25,30,32.5,36.5,37.5,37.5,38,39.8,x
  Harborough,E07000131,42,36.9,,32.2,,14.5,22.1,25,30,35,37.5,37.5,38.9,39.9,x
  Hinckley and Bosworth,E07000132,52,37,,32.8,,16,25.1,28.8,30,35,37.5,37.5,38,39.9,x
  Melton,E07000133,17,37,,32.6,,x,23.8,28.4,31.2,33.5,37.5,38.5,39.5,40,x
  North West Leicestershire,E07000134,45,36.9,,32.1,,15,22.5,25,27.8,33.9,37.3,37.5,39.4,40,x
  Oadby and Wigston,E07000135,24,35.5,,32.6,,16.1,24.6,28.8,31.1,34.2,37.4,37.5,38.1,39.7,x
Lincolnshire,E10000019,320,37,,32.7,,16,23,27.5,30.1,35,37.5,37.9,39.1,40,41
  Boston,E07000136,30,37.5,,33.2,,16,23.1,27,30.3,36,38.5,39.9,40,x,x
  East Lindsey,E07000137,53,36.1,,31,,12.3,18.6,22.1,26.5,31,37.5,38.8,39.2,40,x
  Lincoln,E07000138,38,36.8,,32.2,,16,24.5,27.2,30,34.6,37.3,37.5,39,40,x
  North Kesteven,E07000139,53,37,,34.2,,18.2,28.8,30.6,32.5,36.8,37.4,37.5,38.6,40,x
  South Holland,E07000140,42,37,,34.4,,19.7,29.2,32.5,34.2,36.1,37.5,39.3,40,40,x
  South Kesteven,E07000141,61,36.3,,32,,16.1,22,24.6,29.2,33.8,37,37.5,38,39.9,x
  West Lindsey,E07000142,42,36.9,,32.5,,14.1,22.5,27.7,30,34.5,37.3,37.5,38.7,39.7,x
Nottinghamshire,E10000024,331,37,,32,,14,22.3,26.7,30,35,37.5,37.5,38.9,39.9,40
  Ashfield,E07000170,49,37,,33.7,,17.7,27.5,30,33.2,36.5,37.5,38.7,39,39.9,x
  Bassetlaw,E07000171,56,37,,32,,12.5,22.4,27.6,30,34,37.4,38,39.8,40,x
  Broxtowe,E07000172,45,37,,31.6,,14,20.9,23,28.6,34.9,37.3,37.5,37.6,39,x
  Gedling,E07000173,43,36.9,,30.4,,10.7,18.6,22.3,26.2,32.6,37.3,37.5,38,39,x
  Mansfield,E07000174,43,37.3,,32.1,,15.2,20.8,24.2,28,36,37.5,38,39.1,40,x
  Newark and Sherwood,E07000175,44,37,,32.1,,x,22.3,27.8,30.1,35,37.5,37.9,39,40,x
  Rushcliffe,E07000176,51,37,,31.8,,13.8,22.3,27.5,30,35,37.3,37.5,37.5,38.6,x
West Midlands ,E12000005,"2,160",37,,33,,16,24.4,29.8,32.2,35.2,37.5,37.9,39,40,40.2
Herefordshire UA,E06000019,78,37.2,,31.9,,14,20,22.5,25.9,32.9,37.5,39.9,40,40,x
Stoke-on-Trent UA,E06000021,104,37,,33.7,,18.8,26.5,30,32.2,36,37.5,37.9,39,39.9,40
Telford and Wrekin UA,E06000020,83,37,,33,,16,24.1,29,32,36,37.5,37.6,38.9,40,40.5
Shropshire UA,E06000051,129,37,,31.6,,12,20.4,24,28,33.1,37.5,38.4,39.3,40,42
Staffordshire,E10000028,361,37,,33.1,,16.1,25,30,32.3,35,37.5,37.9,39,40,40.4
  Cannock Chase,E07000192,42,37,,34.2,,16.9,26,31,33.4,36.5,37.5,38.8,39,40,x
  East Staffordshire,E07000193,48,37.4,,32.7,,15.6,24.1,27.9,30,35,37.5,39,39,40,x
  Lichfield,E07000194,43,37,,34.6,,18.2,30,32.3,32.5,35.4,37.5,37.5,39,40,x
  Newcastle-under-Lyme,E07000195,51,37,,32.7,,16.4,25,28.9,32,35,37.5,37.5,38.6,39.7,x
  South Staffordshire,E07000196,46,37,,33.1,,17.4,25.3,30,31.3,35,37.5,37.5,39,40,x
  Stafford,E07000197,58,37,,32.3,,13.7,23.8,28,31.3,35,37.3,37.5,38.8,39.6,x
  Staffordshire Moorlands,E07000198,41,37,,32.3,,15,22.6,27,31,34.9,37.5,37.5,39,39.6,x
  Tamworth,E07000199,31,37,,33.3,,16.2,24.9,29.9,32.5,36.2,37.5,39,39.9,40,x
Warwickshire,E10000031,255,37,,33.3,,16.5,25.7,30,32.8,36,37.5,37.5,38.9,39.9,40.2
  North Warwickshire,E07000218,25,37,,34.8,,22.2,30.7,32.5,35,36.3,37.5,39.5,40,40,x
  Nuneaton and Bedworth,E07000219,57,37.3,,34,,17.6,28,30.3,34.5,36.5,37.5,38.6,39,40,x
  Rugby,E07000220,50,37,,33.6,,18.2,28,30,33.9,35.9,37.5,37.5,39,40,x
  Stratford-on-Avon,E07000221,54,37,,31.9,,15.8,20.2,24.2,30.1,35,37.1,37.5,38,38.9,x
  Warwick,E07000222,69,37,,32.9,,16,25,30,32.5,35,37.3,37.5,37.5,39.1,x
West Midlands Met County,E11000005,896,37,,33.2,,16.5,25,30,32.5,35.6,37.5,37.7,39,40,40
  Birmingham,E08000025,307,37,,32.5,,15.1,23.8,27.8,32,35,37.5,37.5,38,39.3,40
  Coventry,E08000026,120,37,,33.8,,18.4,27.2,30.1,34.5,36.5,37.5,38,39.3,40,40.5
  Dudley,E08000027,120,37,,33,,16,24,29.9,32.2,36,37.5,39,40,40,40
  Sandwell,E08000028,105,37,,34,,19.5,27.6,30.4,32.5,35.3,37.5,38.9,39.6,40,42.1
  Solihull,E08000029,76,37,,32.8,,16.1,27.4,31.9,33.3,35.5,37.4,37.5,37.5,38.2,x
  Walsall,E08000030,88,37,,33.1,,18.5,24.5,28.6,31.4,35,37.4,37.5,38.9,39.9,40.2
  Wolverhampton,E08000031,80,37.4,,34.5,,19.5,30,32.4,35,37,37.5,39,39.9,40,x
Worcestershire,E10000034,255,37,,32.6,,16,24,29.4,32.4,35,37.5,37.9,39,39.9,40
  Bromsgrove,E07000234,40,37,,33.6,,18,28.5,32.5,34,35.3,37.5,37.5,38.8,39.6,x
  Malvern Hills,E07000235,26,37,,31.6,,x,21.1,25,31.9,34.9,37,x,37.5,38.8,x
  Redditch,E07000236,39,37.1,,34.6,,20,30.3,33.5,35,37,37.6,39,39.8,40,x
  Worcester,E07000237,52,37,,31.8,,13.6,22.6,27.4,32.1,35,37.1,37.5,38.5,40,x
  Wychavon,E07000238,57,36.5,,31.6,,15,21.9,24.8,28.5,32.7,37.4,37.5,39.4,39.9,x
  Wyre Forest,E07000239,41,37,,32.8,,16.3,23,27.5,32,36.6,37.5,38.6,39.5,40,x
East ,E12000006,"2,595",37,,32.4,,15,23,27.5,30.9,35,37.5,37.5,39,40,40.5
Bedford UA,E06000055,84,37,,33.7,,16.1,26.9,30.1,34.2,36.7,37.5,37.5,39.2,40,42
Central Bedfordshire UA,E06000056,142,37,,32.9,,16,25,29.5,32.5,36,37.5,37.5,38.4,40,40
Luton UA,E06000032,73,36.8,,32,,14.9,22.5,25,29.3,34.9,37.1,37.5,37.5,38.9,x
Peterborough UA,E06000031,90,37,,33.5,,16.5,24.3,30,32.9,35.3,37.5,39,39.9,40,41.2
Southend-on-Sea UA,E06000033,65,35,,31.6,,13.8,21,26,29.5,34.9,37,37.5,38,39.8,x
Thurrock UA,E06000034,62,36.5,,33.7,,16,26.2,30.7,33.5,35,37.5,39,40,40,x
Cambridgeshire,E10000003,293,37,,33.2,,16,26.5,30.1,32.6,36.2,37.5,37.5,38.6,39.9,40.1
  Cambridge,E07000008,55,37,,32.6,,16.2,25,29.9,32.5,36,37,37.4,37.5,37.5,x
  East Cambridgeshire,E07000009,41,37,,33.8,,x,27,30,34.3,36.5,37.5,39,39.9,40,x
  Fenland,E07000010,42,37.5,,34.3,,16.2,25.4,30,32.4,36.8,38.9,40,40,40,x
  Huntingdonshire,E07000011,83,37,,33.4,,15,27.1,31.9,33.1,36.8,37.5,37.9,39.9,40,x
  South Cambridgeshire,E07000012,74,36.8,,32.6,,15.4,26.2,30.6,32.5,35.6,37,37.5,x,37.5,x
Essex,E10000012,567,36.5,,32.2,,14.8,22.4,25.9,30.2,35,37.4,37.5,39,40,40.8
  Basildon,E07000066,72,36.2,,32.8,,15.5,23.9,28.2,32.1,35,37.5,38.9,40,40,x
  Braintree,E07000067,64,37,,33,,14.7,21.5,29.8,32.4,35,37.5,40,40,40,x
  Brentwood,E07000068,25,35,,30.9,,x,21.9,24.6,28.2,32.5,36.1,x,37.5,39.5,x
  Castle Point,E07000069,34,36.1,,32.3,,15.9,23.4,26.6,31.3,35,37,37.5,37.5,39,x
  Chelmsford,E07000070,63,36.8,,32.5,,16,24,28,32.2,35,37,37.5,37.6,39.8,x
  Colchester,E07000071,86,36,,31.3,,12.8,21,23.9,28.3,33.6,37,37.5,37.5,39,x
  Epping Forest,E07000072,48,35.9,,32.3,,15.8,22.6,26.6,30,35,37,37.5,39.1,40,x
  Harlow,E07000073,38,37.3,,33.5,,15.3,23,29.5,35,36.8,37.5,38.1,39.7,40,x
  Maldon,E07000074,26,35.7,,30.7,,12.5,18.7,20.3,24.2,32.6,37.4,37.5,38.8,40,x
  Rochford,E07000075,28,36.8,,31.6,,x,19.4,27.2,32.5,35,37.1,37.5,37.7,38.9,x
  Tendring,E07000076,49,36.3,,31.7,,13.8,19.8,22.9,25.3,34.9,37,37.5,39.9,40,x
  Uttlesford,E07000077,35,36.5,,32.2,,15.2,22.4,26,29.5,35,37,x,37.5,40,x
Hertfordshire,E10000015,514,36.4,,32.1,,14.3,22.5,28,32,35,37.4,37.5,37.9,39.9,40.3
  Broxbourne,E07000095,40,36,,33,,15,22.4,30.1,32.5,35,37.3,37.5,39.6,40,x
  Dacorum,E07000096,68,35.6,,31.2,,12,20.7,24,29.7,33.8,37,37.5,37.5,39.5,x
  East Hertfordshire,E07000242,66,37,,32.6,,13.5,25.7,30,32.5,35,37.5,37.5,38.3,39.6,x
  Hertsmere,E07000098,35,35.8,,31.6,,x,20.1,23.1,27.1,32.6,37,37.5,37.7,40,x
  North Hertfordshire,E07000099,67,36,,31.2,,11.3,20,24.1,30,34.5,37,37.5,37.5,39.6,x
  St Albans,E07000240,68,35.6,,32,,15,23.6,28.8,32.5,35,37,x,37.5,38.3,x
  Stevenage,E07000243,38,36.7,,32.5,,16.2,24.8,28.2,30.4,35,37,37.5,37.5,38.2,x
  Three Rivers,E07000102,39,37.1,,33,,14.6,26.6,30.1,32.5,36.7,37.5,37.9,40,40,x
  Watford,E07000103,45,36.8,,33.5,,18.5,28,30,32.5,35,37.5,37.5,38.8,40,x
  Welwyn Hatfield,E07000241,48,36,,31.9,,12.4,21,26.4,32.5,35,37,37.5,37.5,39,x
Norfolk,E10000020,383,37,,31.6,,14,22,24.3,28,35,37.5,37.5,39,39.9,40.5
  Breckland,E07000143,59,37,,31.8,,12.7,20.3,23.9,27.7,34.5,37.5,39,39.9,40,x
  Broadland,E07000144,56,35,,30.8,,14.2,20,22.7,24.3,32,37,37.5,37.5,38.1,x
  Great Yarmouth,E07000145,44,37,,31,,14.5,19.9,22.6,26,32.2,37.5,38.2,39,40,x
  King's Lynn and West Norfolk,E07000146,67,37.4,,32.6,,13.9,24,26.8,30,35,37.5,39,40,40,x
  North Norfolk,E07000147,34,35.8,,29.6,,11.9,16.5,20.3,23.1,30,37.4,37.5,38.6,39,x
  Norwich,E07000148,62,37,,32.3,,14.6,24.1,29.7,32.3,35,37.4,37.5,37.5,38.9,x
  South Norfolk,E07000149,62,37,,31.8,,14.3,22.5,24.8,27.9,34,37.3,37.5,37.6,39,x
Suffolk,E10000029,323,37,,32.4,,14.8,22.5,25.5,30,35,37.5,38,39.9,40,42
  Babergh,E07000200,40,36.9,,32.4,,x,23.7,29.9,31.4,35,37.5,37.8,40,40,x
  Ipswich,E07000202,68,37,,32.5,,13.8,22.2,26,32.2,35,37.5,37.5,38.7,40,x
  Mid Suffolk,E07000203,51,37,,32.2,,14.1,21,24.1,29.1,35,37.5,37.6,39.1,40,x
  East Suffolk,E07000244,99,36.3,,31.6,,14.8,21,23,25.7,32.5,37.3,38.3,39.9,40,42
  West Suffolk,E07000245,65,37,,33.4,,16.4,25,29.8,32.5,36.7,37.5,39,40,40,x
London ,E12000007,"3,248",36,,32.8,,16,25.1,30.1,32.5,35,37.4,37.5,38,39.9,40
Inner London,E13000001,"1,299",36,,33.3,,16.1,27.6,32.4,34.9,35,37.4,37.5,37.9,39.9,40
  Camden,E09000007,70,35.1,,32.7,,x,27.5,32.2,34.8,35,37,37.5,39,40,x
  City of London,E09000001,x,37.4,,34.8,,x,x,x,x,35,40,x,x,x,x
  Hackney,E09000012,99,35,,32.1,,15.9,23.5,27.5,32,35,37.1,37.5,38,40,x
  Hammersmith and Fulham,E09000013,76,36.8,,34.5,,22.9,32.3,35,35,35,37.5,37.5,39,40,x
  Haringey,E09000014,94,36,,31.8,,12.3,20,25.5,30.1,35,37.4,37.5,37.5,39.3,x
  Islington,E09000019,90,37,,33.9,,17.8,30.7,34.5,35,35,37.5,37.9,39.9,40,x
  Kensington and Chelsea,E09000020,42,35,,32.6,,16,26.3,29.9,33.4,35,37,37.5,37.5,39.7,x
  Lambeth,E09000022,134,37,,34.3,,20,32.2,34.7,35,35,37.5,37.5,37.9,39.9,40
  Lewisham,E09000023,115,35,,31.9,,13.9,22.5,26.1,30,35,37,37.5,37.5,37.9,x
  Newham,E09000025,116,36,,33.2,,16,24,29.1,32.5,35,37.5,37.5,38.2,39.9,40.3
  Southwark,E09000028,129,36,,33.1,,17.5,29,32.5,34.9,35,37,37.5,37.5,39,x
  Tower Hamlets,E09000030,119,35,,33.3,,18.4,30.2,32.5,34.7,35,37,37.5,37.5,39.8,x
  Wandsworth,E09000032,140,36.1,,33.8,,19.6,32.2,34.9,35,35,37.5,37.5,37.6,39.9,40
  Westminster,E09000033,69,36,,35.1,,20.6,32.6,35,35,35,37.5,37.9,39.9,40,x
Outer London,E13000002,"1,949",36,,32.5,,15.9,24.5,29.4,32.4,35,37.4,37.5,38,39.9,40
  Barking and Dagenham,E09000002,61,35,,30.9,,12,20,23.3,28,32.5,36,37.3,37.5,38,x
  Barnet,E09000003,134,35,,31.3,,12,21,26.2,29.7,34.9,37,37.5,37.5,39.8,40.3
  Bexley,E09000004,93,36.2,,33.2,,15.9,25.3,32,33.6,35,37.5,37.5,39.9,40,x
  Brent,E09000005,116,36.2,,32.7,,16.7,25.2,29.8,32.5,35,37.5,37.8,39.8,40,40.2
  Bromley,E09000006,135,35,,31.8,,12,22.7,28,31.3,35,37.4,37.5,39,40,40.1
  Croydon,E09000008,151,36,,33.3,,18,28,32.4,33.7,35,37.4,37.5,38.2,39.9,40.1
  Ealing,E09000009,143,36.7,,32.8,,15.5,24,28,32.2,35,37.5,37.9,39.9,40,40.5
  Enfield,E09000010,107,35,,31.3,,15,20.8,23.9,27.5,34,36.1,37.5,37.5,39.1,x
  Greenwich,E09000011,100,36,,33.9,,18.4,29.5,32.5,34.9,35,37.5,37.5,38.6,40,x
  Harrow,E09000015,89,35.5,,32.2,,16.2,23.3,26.9,30,34.9,37.4,37.5,37.5,39.4,x
  Havering,E09000016,98,35,,32,,14.2,23.9,29.9,32.4,35,37,37.5,38.9,40,40
  Hillingdon,E09000017,118,37,,33.3,,19,27.5,30,34.3,35.3,37.5,37.5,39,40,40.1
  Hounslow,E09000018,100,36.5,,32.9,,16.1,23.2,27.5,31.5,35,37.5,37.9,39.8,40,x
  Kingston upon Thames,E09000021,73,36,,32.5,,16,27.5,30.1,32.5,35,37.2,37.5,37.5,37.6,x
  Merton,E09000024,83,35,,32.6,,16.6,25,28.8,31.7,35,37,37.5,38,39.9,x
  Redbridge,E09000026,91,35,,32,,15,23,28.3,32.2,35,37,37.5,37.5,38.4,x
  Richmond upon Thames,E09000027,73,36.5,,33.5,,16.1,27.7,32.3,34.5,35,37.4,37.5,39.5,40,x
  Sutton,E09000029,87,35,,31.9,,15.6,23,27.8,30.1,35,36.5,37.5,37.5,38.9,x
  Waltham Forest,E09000031,98,36,,33.4,,19.5,29.2,32.5,34.5,35,37,37.5,38,39.7,x
